Counter_Group,Counter,Counter_type,Counter_Scope,Ok_val,Warning_val,Critical_val,Message
Physical Disk,Adapter Q Depth,Num_cal,obj_hig,2048,1024,256,Possible HBA  overload
Physical Disk Adapter,Commands/sec,Num_cal,obj,2500,5000,10000,Possible HBA  overload
Physical Disk SCSI Device,Queued Commands,Num,obj,1,10,20,Storage IO queued in software may induce high Average Kernel MilliSec.
Physical Disk SCSI Device,% Used,Num,obj,1,50,100,Storage IO queued in software may induce high Average Kernel MilliSec.
Physical Disk SCSI Device,Commands/sec,Num,obj,2500,5000,10000,Heavy IO on the path
Physical Disk SCSI Device,Average Driver MilliSec/Command,Num,obj,5,10,20,Latency observed between HBA and storage
Physical Disk SCSI Device,Average Kernel MilliSec/Command,Num,obj,0.5,1,5,"Latency observed due to Kernel action. Possible configuration issue, HBA overload or SAN outage"
Physical Disk SCSI Device,Average Guest MilliSec/Command,Num,obj,5,11,25,Latency observed by Guest OS
Physical Disk SCSI Device,Average Queue MilliSec/Command,Num,obj,0.5,1,5,Latency due to Storage IO queued in software
Physical Disk SCSI Device,Failed Commands/sec,Num,obj,1,10,100,IO Failures. Possible Storage outage or driver issues
Physical Disk SCSI Device,Aborts/sec,Num,obj,1,10,100,IO Aborts. Possible Storage outage or driver issues
Physical Disk SCSI Device,Resets/sec,Num,obj,1,10,100,IO Resets. Possible Storage outage or driver issues
Physical Disk Path,Commands/sec,Num,obj,1000,2000,5000,Heavy IO on the path
Physical Disk Path,Conflicts/sec,Num,obj,1,32,64,Have reservation conflicts 
Physical Disk Path,Average Driver MilliSec/Command,Num,obj,5,10,20,Latency observed between HBA and storage
Physical Disk Path,Average Kernel MilliSec/Command,Num,obj,0.5,1,5,"Latency observed due to Kernel action. Possible configuration issue, HBA overload or SAN outage"
Physical Disk Path,Average Guest MilliSec/Command,Num,obj,5,11,25,Latency observed by Guest OS
Physical Disk Path,Average Queue MilliSec/Command,Num,obj,0.5,1,5,Latency due to Storage IO queued in software
Physical Disk Path,Failed Commands/sec,Num,obj,1,10,100,IO Failures. Possible Storage outage or driver issues
Physical Disk Path,Aborts/sec,Num,obj,1,10,100,IO Aborts. Possible Storage outage or driver issues
Physical Disk Path,Resets/sec,Num,obj,1,10,100,IO Resets. Possible Storage outage or driver issues
Virtual Disk,FailedIOs,Num,obj,1,10,100,IO Failures. Possible Storage outage or driver issues
Virtual Disk,Commands/sec,Num,obj,200,500,1000,Heavy IO by the VM/vmdk
Virtual Disk,Average MilliSec/Read,Num,obj,5,10,20,Latency observed by Guest OS
Virtual Disk,Average MilliSec/Write,Num,obj,5,10,20,Latency observed by Guest OS
Network Port,Packets Transmitted/sec,Num,obj,2000,5000,10000,Heavy Network I/O
Network Port,Packets Received/sec,Num,obj,2000,5000,10000,Heavy Network I/O
Network Port,% Outbound Packets Dropped,Num,obj,1,10,20,Heavy Network Packet drops
Network Port,% Received Packets Dropped,Num,obj,1,10,20,Heavy Network Packet drops
Network Port,Multicast Packets Transmitted/sec,Num,obj,1000,5000,20000,Heavy Multicast traffic 
Network Port,Multicast Packets Received/sec,Num,obj,1000,5000,20000,Heavy Multicast traffic 
Network Port,Broadcast Packets Transmitted/sec,Num,obj,1000,5000,20000,Heavy Broadcast traffic 
Network Port,Broadcast Packets Received/sec,Num,obj,1000,5000,20000,Heavy Broadcast traffic 
Interrupt Cookie,Interrupts/second,Num,obj,5000,10000,20000,Heavy usage of interrupt
PCPU Power State,% of aperf/mperf,Num,obj_hig,100,80,50,Inefficient power management policy
